Russian,English
я,I
не,not
что,A what
это,This is
на,on
с,with
он,he
мы,We are
как,how
да,Yes
мне,To me
у,at
меня,me
но,but
все,all
она,She is
тебя,thee
о,about
если,if
за,behind
бы,Would
тебе,you
они,they
чтобы,that
же,same
есть,eat
просто,simply
из,from
к,to
для,for
ну,well
когда,when
по,along
знаю,Yes I know
только,only
всё,all
было,Was
нас,us
вот,here
быть,be
будет,Will
почему,why
вам,you
их,their
очень,Very much
уже,Already have
спасибо,Thank you
еще,more
там,Over there
нужно,Have to
сейчас,Right away
где,Where is
чем,than
хочу,Want to
ничего,No problem
была,Was
мой,my
ее,her
ладно,okay
знаешь,You know
п,P
до,before
этом,This
потому,therefore
теперь,For now
думаю,I think
её,her
со,with
раз,time
ему,him
надо,must
время,It's time
этот,This one
ли,whether
ещё,yet
пока,So long
привет,Hello
сказал,quoth
